Chr	gene_symbol	tissue	fold_change	p_value	regulation	detecting_method	pubMed_ID
3	EXOG	prefrontal cortex	-0.29	1.12E-03	DOWN	RNA-Seq	26793951
20	EYA2	prefrontal cortex	0.56	3.29E-04	UP	RNA-Seq	26793951
6	EZR	prefrontal cortex	0.45	2.48E-03	UP	RNA-Seq	26793951
13	F7	prefrontal cortex	-0.59	1.17E-04	DOWN	Microarray	26793951
1	FAF1	prefrontal cortex	-0.07	5.11E-03	DOWN	microarray transcriptomics	26793951
12	FAM109A	prefrontal cortex	0.35	1.06E-04	UP	RNA-Seq	26793951
17	FAM117A	prefrontal cortex	0.28	1.56E-04	UP	Microarray	26793951
9	FAM120AOS	prefrontal cortex	-0.21	8.00E-04	DOWN	RNA-Seq	26793951
9	FAM129B	prefrontal cortex	0.43	2.92E-03	UP	RNA-Seq	26793951
19	FAM129C	prefrontal cortex	0.23	7.58E-04	UP	Microarray	26793951
2	FAM150B	prefrontal cortex	-0.69	3.07E-04	DOWN	RNA-Seq	26793951
1	FAM167B	prefrontal cortex	0.98	3.28E-07	UP	RNA-Seq	26793951
2	FAM171B	prefrontal cortex	0.09	2.29E-03	UP	microarray transcriptomics	26793951
11	FAM181B	prefrontal cortex	0.4	2.60E-03	UP	RNA-Seq	26793951
1	FAM183A	prefrontal cortex	-0.68	3.06E-03	DOWN	RNA-Seq	26793951
10	FAM188A	prefrontal cortex	-0.32	3.31E-04	DOWN	RNA-Seq	26793951
16	FAM195A	prefrontal cortex	0.44	7.48E-04	UP	RNA-Seq	26793951
13	FAM216B	prefrontal cortex	-0.92	2.68E-05	DOWN	RNA-Seq	26793951
10	FAM21C	prefrontal cortex	-0.14	4.18E-03	DOWN	microarray transcriptomics	26793951
9	FAM221B	prefrontal cortex	-0.71	6.09E-04	DOWN	RNA-Seq	26793951
1	FAM229A	prefrontal cortex	0.57	3.36E-05	UP	RNA-Seq	26793951
17	FAM27L	prefrontal cortex	-0.53	9.83E-04	DOWN	Microarray	26793951
4	FAM47E	prefrontal cortex	-0.37	1.10E-03	DOWN	RNA-Seq	26793951
20	FAM65C	prefrontal cortex	1.01	6.31E-09	UP	RNA-Seq	26793951
1	FAM73A	prefrontal cortex	-0.46	2.43E-03	DOWN	RNA-Seq	26793951
20	FAM83D	prefrontal cortex	0.43	2.13E-03	UP	RNA-Seq	26793951
8	FAM86B1	prefrontal cortex	-0.39	1.21E-03	DOWN	RNA-Seq	26793951
8	FAM86B2	prefrontal cortex	-0.42	1.60E-03	DOWN	RNA-Seq	26793951
3	FANCD2	prefrontal cortex	-0.44	2.68E-04	DOWN	RNA-Seq	26793951
11	FANCF	prefrontal cortex	0.22	7.12E-04	UP	Microarray	26793951
2	FASTKD2	prefrontal cortex	-0.27	3.06E-03	DOWN	RNA-Seq	26793951
5	FAT2	prefrontal cortex	-1.23	1.66E-07	DOWN	RNA-Seq	26793951
22	FBLN1	prefrontal cortex	0.57	5.74E-05	UP	RNA-Seq	26793951
15	FBN1	prefrontal cortex	-0.35	2.05E-03	DOWN	RNA-Seq	26793951
15	FBXL22	prefrontal cortex	-0.55	8.22E-04	DOWN	RNA-Seq	26793951
13	FBXL3	prefrontal cortex	0.33	5.97E-04	UP	Microarray	26793951
1	FBXO2	prefrontal cortex	0.43	1.68E-04	UP	RNA-Seq	26793951
2	FBXO36	prefrontal cortex	-0.43	9.35E-05	DOWN	RNA-Seq	26793951
9	FBXW2	prefrontal cortex	-0.27	1.34E-03	DOWN	RNA-Seq	26793951
19	FCGRT	prefrontal cortex	0.43	4.99E-04	UP	RNA-Seq	26793951
15	FES	prefrontal cortex	0.44	8.05E-04	UP	RNA-Seq	26793951
8	FGF17	prefrontal cortex	0.59	5.86E-04	UP	RNA-Seq	26793951
1	FGR	prefrontal cortex	0.55	8.95E-04	UP	RNA-Seq	26793951
X	FHL1	prefrontal cortex	0.11	4.83E-03	UP	microarray transcriptomics	26793951
16	FHOD1	prefrontal cortex	0.35	2.79E-03	UP	RNA-Seq	26793951
14	FITM1	prefrontal cortex	0.73	2.61E-04	UP	RNA-Seq	26793951
12	FKBP4	prefrontal cortex	0.57	1.88E-04	UP	RNA-Seq	26793951
6	FKBP5	prefrontal cortex	0.64	4.49E-04	UP	RNA-Seq	26793951
5	FKSG61	prefrontal cortex	0.7	2.97E-03	UP	RNA-Seq	26793951
9	FKTN	prefrontal cortex	-0.33	1.09E-03	DOWN	RNA-Seq	26793951
17	FLCN	prefrontal cortex	0.31	3.06E-03	UP	RNA-Seq	26793951
13	FLT3	prefrontal cortex	-0.67	1.36E-03	DOWN	RNA-Seq	26793951
19	FLT3LG	prefrontal cortex	0.4	1.79E-03	UP	RNA-Seq	26793951
5	FLT4	prefrontal cortex	0.44	2.64E-03	UP	RNA-Seq	26793951
3	FNDC3B	prefrontal cortex	0.48	4.60E-05	UP	Microarray	26793951
9	FOXD4	prefrontal cortex	0.54	1.52E-03	UP	RNA-Seq	26793951
16	FOXF1	prefrontal cortex	0.59	2.51E-03	UP	RNA-Seq	26793951
17	FOXJ1	prefrontal cortex	0.73	9.50E-04	UP	RNA-Seq	26793951
13	FOXO1	prefrontal cortex	0.52	8.63E-04	UP	Microarray	26793951
1	FPGT-TNNI3K	prefrontal cortex	-0.6	1.16E-04	DOWN	RNA-Seq	26793951
10	FRAT2	prefrontal cortex	0.31	1.24E-03	UP	RNA-Seq	26793951
9	FRRS1L	prefrontal cortex	-0.85	7.39E-05	DOWN	RNA-Seq	26793951
X	FUNDC2	prefrontal cortex	0.32	5.85E-04	UP	Microarray	26793951
X	FUNDC2	prefrontal cortex	-0.1	2.55E-03	DOWN	microarray transcriptomics	26793951
15	FURIN	prefrontal cortex	0.25	2.98E-03	UP	RNA-Seq	26793951
11	FUT4	prefrontal cortex	0.2	5.05E-05	UP	Microarray	26793951
11	FXYD2	prefrontal cortex	0.98	1.24E-09	UP	RNA-Seq	26793951
2	FZD7	prefrontal cortex	0.56	2.72E-04	UP	Microarray	26793951
10	FZD8	prefrontal cortex	0.59	3.65E-04	UP	RNA-Seq	26793951
7	FZD9	prefrontal cortex	0.62	3.06E-05	UP	RNA-Seq	26793951
1	G0S2	prefrontal cortex	1.51	1.01E-11	UP	RNA-Seq	26793951
X	G6PD	prefrontal cortex	0.1	9.98E-05	UP	microarray transcriptomics	26793951
11	GAB2	prefrontal cortex	-0.14	1.23E-03	DOWN	microarray transcriptomics	26793951
X	GABRA3	prefrontal cortex	0.12	2.66E-03	UP	microarray transcriptomics	26793951
5	GABRA6	prefrontal cortex	-1.23	2.20E-07	DOWN	RNA-Seq	26793951
2	GAD1	prefrontal cortex	-0.18	2.44E-05	DOWN	microarray transcriptomics	26793951
X	GAGE10	prefrontal cortex	0.79	4.17E-04	UP	RNA-Seq	26793951
2	GALM	prefrontal cortex	0.45	9.30E-04	UP	RNA-Seq	26793951
2	GALNT13	prefrontal cortex	-0.45	5.14E-04	DOWN	RNA-Seq	26793951
2	GALNT5	prefrontal cortex	-0.66	1.76E-03	DOWN	RNA-Seq	26793951
2	GAREML	prefrontal cortex	0.69	1.77E-05	UP	RNA-Seq	26793951
21	GART	prefrontal cortex	-0.18	2.06E-03	DOWN	RNA-Seq	26793951
9	GAS1	prefrontal cortex	0.63	6.96E-04	UP	RNA-Seq	26793951
12	GAS2L3	prefrontal cortex	0.58	2.96E-04	UP	RNA-Seq	26793951
17	GAS7	prefrontal cortex	-0.35	8.24E-04	DOWN	RNA-Seq	26793951
1	GBP6	prefrontal cortex	-0.5	4.68E-05	DOWN	Microarray	26793951
9	GDA	prefrontal cortex	0.17	7.33E-05	UP	microarray transcriptomics	26793951
X	GDI1	prefrontal cortex	0.06	5.16E-04	UP	microarray transcriptomics	26793951
16	GDPD3	prefrontal cortex	0.57	5.72E-04	UP	RNA-Seq	26793951
8	GEM	prefrontal cortex	0.89	2.14E-04	UP	Microarray	26793951
8	GEM	prefrontal cortex	0.61	7.69E-04	UP	RNA-Seq	26793951
2	GEN1	prefrontal cortex	-0.3	1.25E-03	DOWN	RNA-Seq	26793951
3	GFM1	prefrontal cortex	-0.26	2.20E-03	DOWN	RNA-Seq	26793951
3	GFM1	prefrontal cortex	-0.1	2.63E-03	DOWN	microarray transcriptomics	26793951
5	GFPT2	prefrontal cortex	0.51	1.23E-04	UP	Microarray	26793951
5	GFPT2	prefrontal cortex	0.27	3.08E-03	UP	RNA-Seq	26793951
5	GHR	prefrontal cortex	0.43	4.28E-05	UP	Microarray	26793951
1	GJA4	prefrontal cortex	0.65	1.73E-03	UP	RNA-Seq	26793951
X	GJB1	prefrontal cortex	-0.18	1.84E-03	DOWN	microarray transcriptomics	26793951
17	GJC1	prefrontal cortex	0.41	3.06E-03	UP	RNA-Seq	26793951
X	GK	prefrontal cortex	-0.09	6.50E-04	DOWN	microarray transcriptomics	26793951
12	GLI1	prefrontal cortex	0.65	1.13E-03	UP	RNA-Seq	26793951
3	GLT8D1	prefrontal cortex	-0.16	1.47E-03	DOWN	RNA-Seq	26793951
10	GLUD1	prefrontal cortex	0.11	1.15E-03	UP	microarray transcriptomics	26793951
3	GMPS	prefrontal cortex	-0.08	2.72E-04	DOWN	microarray transcriptomics	26793951
22	GNAZ	prefrontal cortex	-0.55	4.15E-04	DOWN	Microarray	26793951
5	GNB2L1	prefrontal cortex	-0.06	4.98E-03	DOWN	microarray transcriptomics	26793951
3	GNB4	prefrontal cortex	0.18	2.92E-03	UP	microarray transcriptomics	26793951
15	GNB5	prefrontal cortex	-0.08	1.33E-03	DOWN	microarray transcriptomics	26793951
9	GOLGA2	prefrontal cortex	-0.21	1.81E-04	DOWN	Microarray	26793951
9	GOLM1	prefrontal cortex	0.37	3.98E-05	UP	Microarray	26793951
1	GOLPH3L	prefrontal cortex	0.25	5.88E-04	UP	Microarray	26793951
1	GOLPH3L	prefrontal cortex	0.22	2.33E-03	UP	RNA-Seq	26793951
13	GPALPP1	prefrontal cortex	-0.26	1.55E-03	DOWN	RNA-Seq	26793951
X	GPC4	prefrontal cortex	0.12	9.65E-04	UP	microarray transcriptomics	26793951
20	GPCPD1	prefrontal cortex	-0.5	5.71E-05	DOWN	RNA-Seq	26793951
7	GPER1	prefrontal cortex	0.68	1.12E-06	UP	RNA-Seq	26793951
X	GPM6B	prefrontal cortex	0.12	5.44E-03	UP	microarray transcriptomics	26793951
14	GPR137C	prefrontal cortex	-0.41	6.14E-04	DOWN	RNA-Seq	26793951
3	GPR149	prefrontal cortex	-1.08	6.49E-06	DOWN	RNA-Seq	26793951
10	GPR158	prefrontal cortex	-0.13	8.53E-04	DOWN	microarray transcriptomics	26793951
2	GPR35	prefrontal cortex	0.52	1.24E-04	UP	RNA-Seq	26793951
19	GPR4	prefrontal cortex	0.94	6.88E-06	UP	RNA-Seq	26793951
16	GPR97	prefrontal cortex	0.69	3.01E-03	UP	RNA-Seq	26793951
6	GPSM3	prefrontal cortex	0.64	1.65E-05	UP	RNA-Seq	26793951
18	GREB1L	prefrontal cortex	-0.86	1.56E-05	DOWN	RNA-Seq	26793951
5	GRIA1	prefrontal cortex	0.14	2.97E-03	UP	microarray transcriptomics	26793951
17	GRN	prefrontal cortex	0.32	8.18E-04	UP	RNA-Seq	26793951
7	GSAP	prefrontal cortex	-0.31	2.21E-03	DOWN	RNA-Seq	26793951
8	GSDMD	prefrontal cortex	0.47	1.14E-03	UP	RNA-Seq	26793951
20	GSS	prefrontal cortex	0.07	5.04E-03	UP	microarray transcriptomics	26793951
4	GSTCD	prefrontal cortex	-0.32	2.48E-03	DOWN	RNA-Seq	26793951
7	GSTK1	prefrontal cortex	-0.11	2.67E-03	DOWN	microarray transcriptomics	26793951
11	GSTP1	prefrontal cortex	0.16	1.49E-04	UP	microarray transcriptomics	26793951
12	GTF2H3	prefrontal cortex	-0.23	2.32E-03	DOWN	RNA-Seq	26793951
6	GTF2H5	prefrontal cortex	-0.26	9.60E-04	DOWN	RNA-Seq	26793951
7	GTPBP10	prefrontal cortex	-0.22	2.74E-03	DOWN	RNA-Seq	26793951
11	GUCY1A2	prefrontal cortex	-0.09	1.51E-03	DOWN	microarray transcriptomics	26793951
6	HACE1	prefrontal cortex	-0.35	3.79E-04	DOWN	RNA-Seq	26793951
3	HACL1	prefrontal cortex	-0.42	6.51E-06	DOWN	RNA-Seq	26793951
16	HBA1	prefrontal cortex	0.43	5.66E-03	UP	microarray transcriptomics	26793951
11	HBB	prefrontal cortex	-0.68	2.69E-03	DOWN	RNA-Seq	26793951
6	HBS1L	prefrontal cortex	-0.45	8.58E-05	DOWN	RNA-Seq	26793951
3	HCLS1	prefrontal cortex	0.64	6.11E-04	UP	RNA-Seq	26793951
5	HCN1	prefrontal cortex	-0.16	3.93E-06	DOWN	microarray transcriptomics	26793951
22	HDAC10	prefrontal cortex	0.52	6.24E-05	UP	RNA-Seq	26793951
1	HDGF	prefrontal cortex	0.22	7.36E-04	UP	RNA-Seq	26793951
2	HDLBP	prefrontal cortex	-0.46	6.30E-04	DOWN	Microarray	26793951
2	HEATR5B	prefrontal cortex	-0.23	1.61E-03	DOWN	RNA-Seq	26793951
2	HECW2	prefrontal cortex	-0.62	4.12E-06	DOWN	RNA-Seq	26793951
15	HERC1	prefrontal cortex	-0.27	1.27E-04	DOWN	RNA-Seq	26793951
16	HERPUD1	prefrontal cortex	0.33	5.16E-04	UP	Microarray	26793951
17	HES7	prefrontal cortex	0.66	5.46E-04	UP	RNA-Seq	26793951
15	HEXA	prefrontal cortex	-0.19	2.57E-03	DOWN	RNA-Seq	26793951
17	HEXIM1	prefrontal cortex	0.5	1.59E-04	UP	Microarray	26793951
17	HEXIM1	prefrontal cortex	0.27	3.01E-03	UP	RNA-Seq	26793951
7	HGF	prefrontal cortex	1.25	2.60E-04	UP	Microarray	26793951
3	HHLA2	prefrontal cortex	-0.72	2.56E-04	DOWN	RNA-Seq	26793951
9	HIATL2	prefrontal cortex	-0.46	3.07E-03	DOWN	RNA-Seq	26793951
17	HIC1	prefrontal cortex	0.71	7.11E-05	UP	RNA-Seq	26793951
19	HIF3A	prefrontal cortex	0.82	1.24E-05	UP	RNA-Seq	26793951
17	HIGD1B	prefrontal cortex	0.71	1.34E-05	UP	RNA-Seq	26793951
6	HIVEP2	prefrontal cortex	-0.33	2.17E-03	DOWN	RNA-Seq	26793951
5	HK3	prefrontal cortex	0.65	2.54E-04	UP	RNA-Seq	26793951
21	HLCS	prefrontal cortex	-0.3	1.43E-03	DOWN	RNA-Seq	26793951
3	HLTF	prefrontal cortex	-0.37	3.52E-04	DOWN	RNA-Seq	26793951
1	HLX	prefrontal cortex	0.42	8.79E-04	UP	RNA-Seq	26793951
8	HMBOX1	prefrontal cortex	0.33	1.33E-03	UP	RNA-Seq	26793951
15	HMG20A	prefrontal cortex	-0.2	1.12E-03	DOWN	RNA-Seq	26793951
4	HMGB2	prefrontal cortex	-0.13	1.13E-03	DOWN	microarray transcriptomics	26793951
19	HMHA1	prefrontal cortex	0.45	3.48E-05	UP	RNA-Seq	26793951
14	HNRNPC	prefrontal cortex	-0.11	5.08E-03	DOWN	microarray transcriptomics	26793951
19	HOOK2	prefrontal cortex	0.4	5.46E-04	UP	RNA-Seq	26793951
16	HP	prefrontal cortex	0.77	1.30E-03	UP	RNA-Seq	26793951
-	HPX-2	prefrontal cortex	-0.47	1.99E-04	DOWN	Microarray	26793951
18	HRH4	prefrontal cortex	0.7	2.48E-03	UP	RNA-Seq	26793951
2	HS6ST1	prefrontal cortex	0.3	5.69E-04	UP	Microarray	26793951
13	HS6ST3	prefrontal cortex	-0.85	2.93E-04	DOWN	RNA-Seq	26793951
22	HSCB	prefrontal cortex	-0.12	2.34E-03	DOWN	microarray transcriptomics	26793951
16	HSD11B2	prefrontal cortex	0.74	4.23E-04	UP	RNA-Seq	26793951
11	HSD17B12	prefrontal cortex	-0.31	3.05E-03	DOWN	RNA-Seq	26793951
16	HSD3B7	prefrontal cortex	0.45	2.41E-03	UP	RNA-Seq	26793951
8	HSF1	prefrontal cortex	0.28	2.37E-03	UP	RNA-Seq	26793951
10	HSPA14	prefrontal cortex	-0.22	9.26E-04	DOWN	RNA-Seq	26793951
6	HSPA1A	prefrontal cortex	1.49	4.46E-11	UP	RNA-Seq	26793951
6	HSPA1B	prefrontal cortex	1.29	2.96E-09	UP	RNA-Seq	26793951
6	HSPA1L	prefrontal cortex	0.52	2.34E-04	UP	RNA-Seq	26793951
1	HSPA6	prefrontal cortex	1.83	1.77E-14	UP	RNA-Seq	26793951
7	HSPB1	prefrontal cortex	1.3	3.19E-10	UP	RNA-Seq	26793951
11	HSPB2	prefrontal cortex	0.44	6.56E-04	UP	RNA-Seq	26793951
17	HSPB9	prefrontal cortex	0.91	1.83E-05	UP	RNA-Seq	26793951
X	HTR2C	prefrontal cortex	-0.92	9.05E-05	DOWN	RNA-Seq	26793951
5	HTR4	prefrontal cortex	-0.65	1.24E-03	DOWN	RNA-Seq	26793951
6	IBTK	prefrontal cortex	-0.3	7.45E-04	DOWN	RNA-Seq	26793951
11	IFITM5	prefrontal cortex	0.73	2.27E-03	UP	RNA-Seq	26793951
9	IFNA2	prefrontal cortex	0.88	2.13E-04	UP	RNA-Seq	26793951
22	IFT27	prefrontal cortex	-0.25	1.60E-03	DOWN	RNA-Seq	26793951
20	IFT52	prefrontal cortex	-0.23	4.79E-04	DOWN	RNA-Seq	26793951
15	IGF1R	prefrontal cortex	0.23	2.24E-03	UP	RNA-Seq	26793951
9	IGFBPL1	prefrontal cortex	-0.65	2.68E-03	DOWN	RNA-Seq	26793951
19	IGFL2	prefrontal cortex	-0.73	1.27E-03	DOWN	RNA-Seq	26793951
4	IGJ	prefrontal cortex	0.79	1.01E-03	UP	RNA-Seq	26793951
2	IHH	prefrontal cortex	0.83	1.69E-04	UP	RNA-Seq	26793951
12	IKIP	prefrontal cortex	0.28	1.60E-04	UP	Microarray	26793951
10	IKZF5	prefrontal cortex	0.36	3.27E-04	UP	Microarray	26793951
10	IL15RA	prefrontal cortex	0.48	2.32E-03	UP	RNA-Seq	26793951
3	IL17RB	prefrontal cortex	0.65	2.39E-06	UP	RNA-Seq	26793951
22	IL17REL	prefrontal cortex	-0.82	5.28E-04	DOWN	RNA-Seq	26793951
2	IL1R2	prefrontal cortex	0.92	9.87E-05	UP	RNA-Seq	26793951
X	IL1RAPL1	prefrontal cortex	-0.27	9.23E-04	DOWN	Microarray	26793951
X	IL2RG	prefrontal cortex	0.6	2.18E-04	UP	RNA-Seq	26793951
16	IL4R	prefrontal cortex	0.64	2.03E-03	UP	RNA-Seq	26793951
8	IMPA1	prefrontal cortex	0.08	2.29E-03	UP	microarray transcriptomics	26793951
8	IMPAD1	prefrontal cortex	-0.28	2.90E-05	DOWN	RNA-Seq	26793951
7	IMPDH1	prefrontal cortex	0.33	1.77E-03	UP	RNA-Seq	26793951
14	INF2	prefrontal cortex	-0.1	3.39E-03	DOWN	microarray transcriptomics	26793951
2	INPP5D	prefrontal cortex	0.41	1.91E-03	UP	RNA-Seq	26793951
9	INPP5E	prefrontal cortex	0.24	2.99E-03	UP	RNA-Seq	26793951
11	INPPL1	prefrontal cortex	0.44	1.26E-04	UP	RNA-Seq	26793951
4	INTS12	prefrontal cortex	0.3	1.19E-06	UP	Microarray	26793951
4	INTU	prefrontal cortex	-0.5	1.95E-03	DOWN	RNA-Seq	26793951
1	IPO9	prefrontal cortex	0.1	5.69E-03	UP	microarray transcriptomics	26793951
1	IPP	prefrontal cortex	-0.31	8.19E-04	DOWN	RNA-Seq	26793951
7	IQUB	prefrontal cortex	0.4	2.45E-04	UP	Microarray	26793951
5	IRF1	prefrontal cortex	0.43	2.82E-03	UP	RNA-Seq	26793951
19	IRF3	prefrontal cortex	0.27	7.14E-04	UP	RNA-Seq	26793951
11	IRF7	prefrontal cortex	0.63	1.44E-04	UP	RNA-Seq	26793951
12	ISCU	prefrontal cortex	-0.13	3.67E-05	DOWN	microarray transcriptomics	26793951
15	ISG20L1	prefrontal cortex	0.52	3.71E-04	UP	Microarray	26793951
5	ISOC1	prefrontal cortex	0.21	4.82E-06	UP	microarray transcriptomics	26793951
19	ISYNA1	prefrontal cortex	0.67	2.62E-07	UP	RNA-Seq	26793951
1	ITGA10	prefrontal cortex	0.77	7.03E-06	UP	RNA-Seq	26793951
1	ITPKB	prefrontal cortex	0.53	5.73E-04	UP	RNA-Seq	26793951
6	ITPR3	prefrontal cortex	0.44	1.94E-04	UP	RNA-Seq	26793951
9	JAK2	prefrontal cortex	0.31	3.10E-04	UP	Microarray	26793951
14	JDP2	prefrontal cortex	0.56	2.06E-06	UP	RNA-Seq	26793951
17	JMJD6	prefrontal cortex	0.66	1.21E-06	UP	RNA-Seq	26793951
19	KANK2	prefrontal cortex	0.47	1.75E-03	UP	RNA-Seq	26793951
16	KAT8	prefrontal cortex	0.24	4.68E-04	UP	RNA-Seq	26793951
13	KATNAL1	prefrontal cortex	-0.2	2.82E-03	DOWN	RNA-Seq	26793951
10	KAZALD1	prefrontal cortex	-0.45	2.82E-03	DOWN	RNA-Seq	26793951
1	KCNA2	prefrontal cortex	-0.18	9.73E-04	DOWN	microarray transcriptomics	26793951
20	KCNB1	prefrontal cortex	-0.18	1.83E-05	DOWN	microarray transcriptomics	26793951
2	KCNE4	prefrontal cortex	1.31	1.20E-09	UP	RNA-Seq	26793951
1	KCNH1	prefrontal cortex	-0.66	2.05E-03	DOWN	RNA-Seq	26793951
11	KDM4D	prefrontal cortex	-0.37	2.35E-03	DOWN	RNA-Seq	26793951
18	KDSR	prefrontal cortex	0.29	1.54E-04	UP	Microarray	26793951
1	KHDRBS1	prefrontal cortex	-0.29	9.12E-04	DOWN	RNA-Seq	26793951
5	KIAA0141	prefrontal cortex	-0.32	9.29E-04	DOWN	Microarray	26793951
1	KIAA0319L	prefrontal cortex	-0.37	8.33E-04	DOWN	Microarray	26793951
1	KIAA1107	prefrontal cortex	-0.17	8.65E-06	DOWN	microarray transcriptomics	26793951
3	KIAA1143	prefrontal cortex	-0.25	6.57E-04	DOWN	RNA-Seq	26793951
7	KIAA1324L	prefrontal cortex	-0.44	2.47E-03	DOWN	RNA-Seq	26793951
3	KIAA1407	prefrontal cortex	-0.37	1.91E-03	DOWN	RNA-Seq	26793951
-	KIAA1466	prefrontal cortex	-0.28	3.36E-04	DOWN	Microarray	26793951
3	KIAA1524	prefrontal cortex	-0.52	1.51E-03	DOWN	RNA-Seq	26793951
1	KIAA2013	prefrontal cortex	-0.27	1.20E-04	DOWN	Microarray	26793951
2	KIDINS220	prefrontal cortex	-0.28	1.98E-03	DOWN	RNA-Seq	26793951
19	KIRREL2	prefrontal cortex	-0.51	5.32E-04	DOWN	RNA-Seq	26793951
19	KLC3	prefrontal cortex	0.79	4.70E-05	UP	RNA-Seq	26793951
3	KLF15	prefrontal cortex	0.63	5.32E-05	UP	RNA-Seq	26793951
18	KLHL14	prefrontal cortex	-0.52	9.97E-04	DOWN	Microarray	26793951
1	KLHL17	prefrontal cortex	0.49	7.89E-05	UP	RNA-Seq	26793951
1	KLHL20	prefrontal cortex	-0.26	8.40E-04	DOWN	RNA-Seq	26793951
1	KLHL21	prefrontal cortex	0.31	1.06E-03	UP	RNA-Seq	26793951
2	KLHL23	prefrontal cortex	0.42	2.16E-04	UP	Microarray	26793951
12	KLHL42	prefrontal cortex	-0.31	6.57E-04	DOWN	RNA-Seq	26793951
3	KLHL6	prefrontal cortex	0.69	6.95E-04	UP	RNA-Seq	26793951
19	KLK1	prefrontal cortex	0.91	9.34E-05	UP	RNA-Seq	26793951
19	KLK14	prefrontal cortex	0.73	1.37E-05	UP	RNA-Seq	26793951
12	KLRG1	prefrontal cortex	0.3	9.87E-04	UP	Microarray	26793951
1	KPNA6	prefrontal cortex	0.09	4.38E-03	UP	microarray transcriptomics	26793951
17	KPNB1	prefrontal cortex	0.12	2.04E-03	UP	microarray transcriptomics	26793951
17	KRT10	prefrontal cortex	0.24	9.01E-04	UP	Microarray	26793951
17	KRT9	prefrontal cortex	-0.47	4.70E-03	DOWN	microarray transcriptomics	26793951
17	KRTAP2-4	prefrontal cortex	-0.5	8.01E-04	DOWN	Microarray	26793951
17	KSR1	prefrontal cortex	-0.55	1.47E-04	DOWN	Microarray	26793951
14	L3HYPDH	prefrontal cortex	-0.37	2.44E-04	DOWN	RNA-Seq	26793951
3	LAMB2	prefrontal cortex	0.55	1.37E-04	UP	RNA-Seq	26793951
2	LANCL1	prefrontal cortex	-0.43	8.38E-04	DOWN	RNA-Seq	26793951
7	LANCL2	prefrontal cortex	-0.2	2.91E-03	DOWN	RNA-Seq	26793951
2	LAPTM4A	prefrontal cortex	0.3	5.21E-04	UP	Microarray	26793951
16	LAT	prefrontal cortex	0.69	2.43E-04	UP	RNA-Seq	26793951
7	LAT2	prefrontal cortex	0.55	7.76E-04	UP	RNA-Seq	26793951
2	LBX2	prefrontal cortex	0.82	5.26E-04	UP	RNA-Seq	26793951
6	LCA5	prefrontal cortex	0.36	7.31E-04	UP	Microarray	26793951
9	LCN10	prefrontal cortex	0.97	1.21E-05	UP	RNA-Seq	26793951
9	LCN6	prefrontal cortex	0.77	8.71E-04	UP	RNA-Seq	26793951
9	LCNL1	prefrontal cortex	0.58	2.60E-04	UP	RNA-Seq	26793951
18	LDLRAD4	prefrontal cortex	-0.41	3.00E-03	DOWN	RNA-Seq	26793951
3	LEKR1	prefrontal cortex	-0.56	2.92E-03	DOWN	RNA-Seq	26793951
17	LHX1	prefrontal cortex	-1.07	3.04E-06	DOWN	RNA-Seq	26793951
20	LIME1	prefrontal cortex	0.48	2.20E-03	UP	RNA-Seq	26793951
4	LIN54	prefrontal cortex	-0.32	8.26E-04	DOWN	RNA-Seq	26793951
1	LIN9	prefrontal cortex	0.32	5.15E-05	UP	Microarray	26793951
2	LINC01119	prefrontal cortex	-0.49	9.66E-04	DOWN	RNA-Seq	26793951
2	LINCR	prefrontal cortex	0.46	2.09E-04	UP	Microarray	26793951
1	LINGO4	prefrontal cortex	-0.73	1.82E-03	DOWN	RNA-Seq	26793951
2	LMAN2L	prefrontal cortex	0.29	5.37E-04	UP	RNA-Seq	26793951
-	LOC100127983	prefrontal cortex	0.38	7.25E-04	UP	Microarray	26793951
-	LOC100129292	prefrontal cortex	-0.48	8.87E-06	DOWN	Microarray	26793951
-	LOC100133154	prefrontal cortex	-0.46	1.37E-04	DOWN	Microarray	26793951
-	LOC100133627	prefrontal cortex	-0.43	5.74E-05	DOWN	Microarray	26793951
-	LOC145757	prefrontal cortex	-0.42	6.06E-04	DOWN	Microarray	26793951
-	LOC153328	prefrontal cortex	0.82	3.54E-04	UP	Microarray	26793951
-	LOC283666	prefrontal cortex	0.32	9.74E-04	UP	Microarray	26793951
-	LOC283871	prefrontal cortex	-0.23	5.73E-04	DOWN	Microarray	26793951
-	LOC400590	prefrontal cortex	-0.39	1.42E-04	DOWN	Microarray	26793951
-	LOC439911	prefrontal cortex	0.38	4.96E-04	UP	Microarray	26793951
-	LOC440338	prefrontal cortex	0.32	3.60E-04	UP	Microarray	26793951
-	LOC441383	prefrontal cortex	-0.41	7.94E-04	DOWN	Microarray	26793951
-	LOC63920	prefrontal cortex	0.31	2.25E-04	UP	Microarray	26793951
19	LONP1	prefrontal cortex	-0.08	2.07E-03	DOWN	microarray transcriptomics	26793951
19	LPAR2	prefrontal cortex	0.4	1.29E-03	UP	RNA-Seq	26793951
1	LPGAT1	prefrontal cortex	-0.33	2.01E-03	DOWN	RNA-Seq	26793951
7	LRCH4	prefrontal cortex	0.38	1.12E-03	UP	RNA-Seq	26793951
2	LRPPRC	prefrontal cortex	-0.26	6.40E-04	DOWN	RNA-Seq	26793951
7	LRRC17	prefrontal cortex	-0.35	1.72E-03	DOWN	RNA-Seq	26793951
