official gene symbol	遗传方式	Result of functional study:U/Y/N	何种方式验证：Animal、C	Number of mutation detected in patients	total patients	Number of mutation detected in controls	total control	PMID	
PINK1	Autosomal recessive	U	C	2	187	0	375	18973254	
LRRK2	Autosomal dominance	U	C	1	187	0	375	18973254	
PARK7	Autosomal recessive	U	U	1	1	0	700	16240358	
PARK7	Autosomal recessive	U	U	1	185	0	144	12953260	
PARK7	Autosomal dominance	U	U	1	190	0	144	12953260	
PARK7	Autosomal dominance	U	U	4	107	0	0	12891685	
PINK1	Autosomal recessive	U	C	1	106	0	60	26282903	
PINK1	Autosomal recessive	U	U	3	18	0	30	25558820	
PINK1	Autosomal recessive	U	C	1	1	0	0	25226872	
PINK1	Autosomal recessive	U	U	1	1	0	100	22233331	
PRKN	Autosomal recessive	U	U	1	1	0	100	22233331	
PINK1	Autosomal recessive	U	U	1	88	0	0	20013014	
PINK1	Autosomal dominance	U	C	1	1	0	400	18307263	
PINK1	Autosomal dominance	U	C	1	1	0	170	18286320	
PINK1	Autosomal recessive	U	U	1	299	0	460	17055324	
PINK1	Autosomal recessive	U	U	1	1	0	110	17030667	
PINK1	Autosomal recessive	U	U	1	1	0	0	15955953	
PINK1	U	U	U	1	1	0	100	15349870	
PINK1	Autosomal recessive	U	U	4	100	0	200	15349860	
PINK1	Autosomal recessive	U	C	1	1	0	200	15087508	
ATP13A2	Autosomal dominance	U	U	2	95	0	92	29966207	
ATP13A2	Autosomal dominance	U	C	1	1	0	150	21542062	
ATP13A2	Autosomal recessive	U	U	1	1	0	0	21094623	
ATP13A2	Autosomal recessive	U	C	1	1	0	0	20669327	
ATP13A2	Autosomal recessive	U	U	1	117	0	10	18413573	
ATP13A2	Autosomal dominance	U	U	1	1	0	240	16964263	
DNAJC6	Autosomal recessive	U	U	1	1	0	0	26703368	
DNAJC6	Autosomal recessive	U	C	2	2	0	0	26528954	
SYNJ1	Autosomal recessive	U	U	1	1	0	0	27869329	
SYNJ1	Autosomal recessive	U	C	1	1	0	500	23804563	
FBXO7	Autosomal recessive	U	U	1	1	0	182	19038853	
FBXO7	Autosomal dominance	U	U	1	1	0	182	19038853	
FBXO7	Autosomal recessive	U	U	1	1	0	800	18513678	
SNCA	Autosomal dominance	U	U	1	1	0	0	27250986	
SNCA	Autosomal dominance	U	U	1	47	0	0	27838048	
SNCA	Autosomal dominance	U	C	1	1	0	236	23526723	
SNCA	Autosomal dominance	U	C	1	1	0	450	23427326	
DCTN7	Autosomal dominance	U	C	1	1	0	0	24676999	
SLC6A3	Autosomal dominance	U	C	2	91	0	400	24911152	
SLC30A10	Autosomal recessive	U	C	2	2	0	334	22341971	
GCH1	Autosomal dominance	U	U	8	1758	0	1565	28582483	
GCH1	Autosomal dominance	U	U	1	1	0	150	25634433	
GCH1	Autosomal dominance	U	U	1	1	0	0	25433916	
GCH1	Autosomal dominance	U	U	1	1	0	96	18511327	
PRKN	Autosomal recessive	U	U	5	50	0	0	30537300	
PLA2G6	Autosomal recessive	U	U	2	50	0	0	30537300	
GBA	Autosomal dominance	U	U	3	50	0	0	30537300	
LRRK2	Autosomal dominance	U	U	2	50	0	0	30537300	
SPG7 	Autosomal dominance	U	U	2	50	0	0	30537300	
SPAST	Autosomal dominance	U	U	1	50	0	0	30537300	
TTBK2 	Autosomal dominance	U	U	1	50	0	0	30537300	
TMEM240	Autosomal dominance	U	U	1	50	0	0	30537300	
ATXN3	Autosomal dominance	U	U	1	50	0	0	30537300	
NOP56	Autosomal dominance	U	U	1	50	0	0	30537300	
ITPR1	Autosomal dominance	U	U	4	50	0	0	30537300	
PNKD	Autosomal dominance	U	U	1	50	0	0	30537300	
PDGFRB	Autosomal dominance	U	U	2	50	0	0	30537300	
POLG	Autosomal dominance	U	U	1	50	0	0	30537300	
DNAJC13	Autosomal dominance	U	U	2	50	0	0	30537300	
PPM1K	Autosomal dominance	U	U	2	50	0	0	30537300	
MAPT	Autosomal dominance	U	U	1	1	0	0	30617627	
PRKN	Autosomal dominance	U	U	1	1	0	0	30702579	
ATP13A2	Autosomal recessive	U	U	1	1	0	0	29903538	
UQCRC1	Autosomal dominance	U	C	1	1	0	1000	30788857	
DEFB126	Autosomal recessive	U	U	1	62	0	10	26942284	
PLIN4	Autosomal recessive	U	U	1	62	0	10	26942284	
OVCH2	Autosomal recessive	U	U	1	62	0	10	26942284	
FAM90A1	Autosomal recessive	U	U	1	62	0	10	26942284	
PRB3	Autosomal recessive	U	U	1	62	0	10	26942284	
LIPI	Autosomal recessive	U	U	1	62	0	10	26942284	
SCARF2	Autosomal recessive	U	U	1	62	0	10	26942284	
CABIN1	Autosomal recessive	U	U	1	62	0	10	26942284	
MAP3K6	Autosomal recessive	U	U	1	62	0	10	26942284	
RFPL2	Autosomal recessive	U	U	1	62	0	10	26942284	
DNAH8	Autosomal recessive	U	U	1	62	0	10	26942284	
MIA2	Autosomal recessive	U	U	1	62	0	10	26942284	
DMXL2	Autosomal recessive	U	U	1	62	0	10	26942284	
RB1CC1	Autosomal recessive	U	U	1	62	0	10	26942284	
MS4A5	Autosomal recessive	U	U	1	62	0	10	26942284	
VPS13C	Autosomal recessive	U	C	3	62	0	10	26942284	
VPS13C	Autosomal recessive	U	C	80	1348	1	530	26942284	
ATG4C	Autosomal recessive	U	U	1	62	0	10	26942284	
ZNF705E	Autosomal recessive	U	U	1	62	0	10	26942284	
ZNF516	Autosomal recessive	U	U	1	62	0	10	26942284	
FAM47E	Autosomal recessive	U	U	1	62	0	10	26942284	
COL15A1	Autosomal recessive	U	U	1	62	0	10	26942284	
GRAMD1C	Autosomal recessive	U	U	1	62	0	10	26942284	
OR8B3	Autosomal recessive	U	U	1	62	0	10	26942284	
FER1L6	Autosomal recessive	U	U	1	62	0	10	26942284	
PIK3R4	Autosomal recessive	U	U	1	62	0	10	26942284	
USP20	Autosomal recessive	U	U	1	62	0	10	26942284	
CEL	Autosomal recessive	U	U	1	62	0	10	26942284	
DARS	Autosomal recessive	U	U	1	62	0	10	26942284	
PRSS3P2	Autosomal recessive	U	U	1	62	0	10	26942284	
PRSS48	Autosomal recessive	U	U	1	62	0	10	26942284	
LPA	Autosomal recessive	U	U	1	62	0	10	26942284	
OR2T35	Autosomal recessive	U	U	1	62	0	10	26942284	
GRN	U	U	U	4	255	0	459	18838661	
LRRK2	Autosomal recessive	U	U	2	69	0	60	17080443	
PRKN	Autosomal recessive	U	U	1	1	0	0	26830385	
SNCA	U	N	U	1	1	1	1	30400105	
PRKN	U	N	U	2	1	2	3	30950022	
LRP10	U	N	U	3	126	0	62	31147221	
SNCA	AD	Y	C	1	1	0	0	32798915	
PRKN	U	N	U	1	1	0	0	32647592	
LRRK2	AD	Y	C	1	1	0	0	31731184	
PARK7	AR	N	U	1	1	0	0	31598935	
POLG	AD	Y	C	1	1	0	0	31843010	
LRRK2	AD	N	U	18	2003	0	0	31324919	
SNCA	AD	N	U	1	2003	0	0	31324919	
PINK1	AR	N	U	2	2003	0	0	31324919	
PRKN	AR	N	U	8	2003	0	0	31324919	
LRRK2	AD	N	U	10	1676	0	0	32613234	
SNCA	AD	N	U	5	1676	0	0	32613234	
LRP10	AD	N	U	2	1676	0	0	32613234	
PRKN	AR	N	U	83	1676	0	0	32613234	
PLA2G6	AR	N	U	9	1676	0	0	32613234	
PINK1	AR	N	U	7	1676	0	0	32613234	
ATP13A2	AR	N	U	2	1676	0	0	32613234	
DJ1	AR	N	U	1	1676	0	0	32613234	
GIGYF2	U	N	U	4	1676	0	0	32613234	
VPS13C	U	N	U	2	1676	0	0	32613234	
RIC3	U	N	U	2	1676	0	0	32613234	
LRP10	U	N	U	2	1676	0	0	32613234	
VPS35	U	N	U	1	1676	0	0	32613234	
TMEM230	U	N	U	1	1676	0	0	32613234	
HTRA2	U	N	U	1	1676	0	0	32613234	
FBXO7	U	N	U	1	1676	0	0	32613234	
DNAJC13	U	N	U	1	1676	0	0	32613234	
PRKN	AR	Y	U	12	23	0	0	32677319	
LRRK2	U	N	U	1	23	0	0	32677319	
?DNAJC13	U	N	U	1	23	0	0	32677319	
GBA	U	N	U	3	23	0	0	32677319	
FBXO7	U	N	U	1	23	0	0	32677319	
VPS13C	U	N	U	1	23	0	0	32677319	
POLG	AR	Y	U	30	67	0	50	32364361	
VPS13C	AR	Y	U	7	699	0	0	32507414	
GBA	AR	Y	U	23	229	2	50	31809948	
 SLC30A10	AR	N	U	31	229	0	0	31594250	
LRRK2	AR	N	U	31	229	0	0	31594250	
LRRK2	U	N	N	8	647	0	0	31493133	
GBA1 	AR	N	U	510	3402	42	655	32618053	
OGG1	U	N	U	0	97	0	102	32603833	
XRCC1	U	N	U	0	97	0	102	32603833	
MTH1	U	N	U	0	97	0	102	32603833	
GBA	AR	N	U	132	735	50	662	29842932	
LRP10 	AD	N	U	1	679	2	1217	32409252	
LRRK2	AD	N	U	155	1090	-	-	32353202	
GBA	AR	N	U	211	1090	-	-	32353202	
GBA	AR	Y	C	3	15	2	15	29948939	
ATP10B 	-	Y	C	3	52	-	-	32172343	
PRKN 	AR	N	U	2	2	0	2	32391545	
PRKN	AR	N	U	1	250	0	616	32707456	
PARK7	AR	N	U	1	250	0	616	32707456	
PLAG2G6	AR	N	U	3	250	0	616	32707456	
VPS35	AD	N	U	1	250	0	616	32707456
